name,asin,Good,Good_S,VeryGood_S,Acceptable_S,LIKEnew_S,VeryGood,Acceptable,LIKEnew,isbn,ean,title,Product_Page_Link,brand,Publisher,manufacturer,publicationdate,Edition,numberofpages,salesrank,New_MFN_Price,packagedimensions_height,packagedimensions_length,packagedimensions_width,packagedimensions_weight,itemdimensions_height,itemdimensions_length,itemdimensions_width,itemdimensions_weight,label,buybox_price,totalnew,totalused,totalcollectible,totalrefurbished,status1
"Library - Family Room - Bookcase 2",1607477254,6.58,0.00,3.99,,3.99,3.32,,1.99,1607477254,9781607477259,"Birth: When the Spiritual and the Material Come Together",https://www.amazon.com/dp/1607477254,,"Phoenix Books","Phoenix Books",2009-11-17,"First Edition",192,3594432,$3.50,90,760,550,75,762,578,74,75,"Phoenix Books",$3.50,12,17,1,0,11
"Library - Family Room - Bookcase 2",0931580501,5.01,0.00,,3.99,,,1.55," ",0931580501,9780931580505,"Wealth 101: Getting What You Want-Enjoying What You'Ve Got",https://www.amazon.com/dp/0931580501,"Mary Book / Prelude Pr","Mary Book / Prelude Pr","Mary Book / Prelude Pr",1992-04-01,1st,532,1156655,$12.72,170,880,610,190,900,650,200,,"Mary Book / Prelude Pr",,10,112,7,0,11
"Library - Family Room - Bookcase 2",0786302356,1.50,3.99,0.00,4.89,0.00,4.99,0.10,5.59,0786302356,9780786302352,"Get Better or Get Beaten!: 31 Leadership Secrets from GE's Jack Welch",https://www.amazon.com/dp/0786302356,,"Irwin Professional Pub","Irwin Professional Pub",1994-04-01,"First Printing",160,3531297,$0.33,80,810,550,65,850,575,75,77,"Irwin Professional Pub",$0.33,22,37,2,0,11
"Library - Family Room - Bookcase 2",0385476035,4.99,0.00,3.99,,,0.01,,,0385476035,9780385476034,"No More Teams!: Mastering the Dynamics of Creative Collaboration",https://www.amazon.com/dp/0385476035,"Michael Schrage","Currency Doubleday","Currency Doubleday",1995-04-01,Reprint,272,2230621,$7.94,66,850,550,90,850,550,50,77,"Currency Doubleday",$13.41,29,58,2,0,11
"Library - Family Room - Bookcase 2",0963962906,0.10,4.89,0.00,0.00,0.00,5.59,5.99,5.99,0963962906,9780963962904,"Healthy at 100: 7 Steps to a Century of Great Health",https://www.amazon.com/dp/0963962906,,"Shot Tower Books","Shot Tower Books",1994-10-01,,265,3781133,$3.00,70,890,590,95,925,575,75,,"Shot Tower Books",,8,31,1,0,11
"Library - Family Room - Bookcase 2",0135153476,5.39,0.00,3.99,3.99,,1.99,3.00," ",0135153476,9780135153475,"Kindle my heart: Wisdom and inspiration from a living master",https://www.amazon.com/dp/0135153476,,"Prentice Hall Press","Prentice Hall Press",1989,"First Edition",,2094280,$8.92,60,910,690,80,910,40,700,,"Prentice Hall Press",,9,26,3,0,11
"Library - Family Room - Bookcase 2",0140178740,5.05,0.00,,3.99,,,1.75," ",0140178740,9780140178746,"The Collapse of Chaos: Discovering Simplicity in a Complex World (Penguin Press Science)",https://www.amazon.com/dp/0140178740,,"Penguin Books","Penguin Books",1995-04-01,,512,1334588,$7.73,92,773,503,82,776,526,99,,"Penguin Books",,5,55,2,0,11
"Library - Family Room - Bookcase 2",019508408X,5.10,0.00,0.00,,,5.19,,9.95,019508408X,9780195084085,"Scuttle Your Ships Before Advancing: And Other Lessons from History on Leadership and Change for Today's Managers",https://www.amazon.com/dp/019508408X,,"Oxford University Press","Oxford University Press",1994-01-15,1,199,690020,$6.32,290,530,490,15,950,638,98,,"Oxford University Press",,8,43,1,0,11
"Library - Family Room - Bookcase 2",0452270308,4.56,1.00,0.00,0.00,,5.99,5.99,,0452270308,9780452270305,"Return of the Portable Curmudgeon",https://www.amazon.com/dp/0452270308,,Plume,Plume,1995-09-01,,338,1075662,$55.55,110,620,550,230,624,556,93,,Plume,,4,22,1,0,11
"Library - Family Room - Bookcase 2",0553253069,0.50,4.25,0.00,0.00,3.99,4.80,4.80,0.01,0553253069,9780553253061,"The Empty Land: A Novel",https://www.amazon.com/dp/0553253069,Bantam,Bantam,Bantam,1985-05-01,,256,134378,$3.50,126,669,394,49,690,420,70,27,Bantam,$4.79,49,122,2,0,11
